Процесс 0 (Idle) вызвал ошибку: Отказано в доступе.
ID: 28404, Имя: Skype, Приоритет: 8, Время начала: 17.01.2025 7:52:11, Сколько времени использовался: 00:00:12.3281250
ID: 28712, Имя: Poe, Приоритет: 8, Время начала: 17.01.2025 7:52:16, Сколько времени использовался: 00:00:02.8437500
ID: 39848, Имя: Poe, Приоритет: 10, Время начала: 17.01.2025 7:52:17, Сколько времени использовался: 00:00:01.3125000
ID: 9712, Имя: Poe, Приоритет: 8, Время начала: 17.01.2025 7:52:17, Сколько времени использовался: 00:00:00.9687500
ID: 21572, Имя: ShellExperienceHost, Приоритет: 8, Время начала: 17.01.2025 7:52:18, Сколько времени использовался: 00:00:00.2187500
ID: 32272, Имя: RuntimeBroker, Приоритет: 8, Время начала: 17.01.2025 7:52:18, Сколько времени использовался: 00:00:00.2968750
ID: 29860, Имя: svchost, Приоритет: 8, Время начала: 17.01.2025 7:52:19, Сколько времени использовался: 00:00:00.0156250
ID: 33908, Имя: SystemSettingsBroker, Приоритет: 8, Время начала: 17.01.2025 7:52:19, Сколько времени использовался: 00:00:00.4375000
ID: 30116, Имя: svchost, Приоритет: 8, Время начала: 17.01.2025 7:52:19, Сколько времени использовался: 00:00:00.0156250
ID: 32084, Имя: Poe, Приоритет: 4, Время начала: 17.01.2025 7:52:22, Сколько времени использовался: 00:00:02.7812500
ID: 24212, Имя: Poe, Приоритет: 4, Время начала: 17.01.2025 7:52:25, Сколько времени использовался: 00:00:00.5312500
ID: 19376, Имя: Poe, Приоритет: 4, Время начала: 17.01.2025 7:52:25, Сколько времени использовался: 00:00:00.0625000
ID: 42876, Имя: CrossDeviceService, Приоритет: 8, Время начала: 17.01.2025 7:52:31, Сколько времени использовался: 00:00:04.2968750
ID: 11720, Имя: RuntimeBroker, Приоритет: 8, Время начала: 17.01.2025 7:52:32, Сколько времени использовался: 00:00:00.0156250
ID: 14716, Имя: ms-teams, Приоритет: 8, Время начала: 17.01.2025 7:52:38, Сколько времени использовался: 00:00:01.6718750
ID: 40248, Имя: svchost, Приоритет: 8, Время начала: 17.01.2025 7:53:24, Сколько времени использовался: 00:00:00.0468750
ID: 43660, Имя: rundll32, Приоритет: 8, Время начала: 17.01.2025 8:25:43, Сколько времени использовался: 00:00:13.5625000
ID: 45808, Имя: SkypeBrowserHost, Приоритет: 8, Время начала: 17.01.2025 8:25:43, Сколько времени использовался: 00:00:00.5000000
ID: 29732, Имя: backgroundTaskHost, Приоритет: 8, Время начала: 17.01.2025 8:25:43, Сколько времени использовался: 00:00:00.0156250
ID: 30980, Имя: QHSafeTray, Приоритет: 8, Время начала: 17.01.2025 8:25:43, Сколько времени использовался: 00:00:21.7656250
ID: 37528, Имя: RuntimeBroker, Приоритет: 8, Время начала: 17.01.2025 8:25:43, Сколько времени использовался: 00:00:00.0156250
ID: 4768, Имя: msedgewebview2, Приоритет: 8, Время начала: 17.01.2025 8:25:44, Сколько времени использовался: 00:00:02.6718750
ID: 42720, Имя: msedgewebview2, Приоритет: 8, Время начала: 17.01.2025 8:25:44, Сколько времени использовался: 00:00:00.0156250
ID: 26536, Имя: msedgewebview2, Приоритет: 10, Время начала: 17.01.2025 8:25:44, Сколько времени использовался: 00:00:00
ID: 40408, Имя: msedgewebview2, Приоритет: 8, Время начала: 17.01.2025 8:25:44, Сколько времени использовался: 00:00:01.3125000
ID: 11312, Имя: msedgewebview2, Приоритет: 8, Время начала: 17.01.2025 8:25:44, Сколько времени использовался: 00:00:00
ID: 11548, Имя: msedgewebview2, Приоритет: 8, Время начала: 17.01.2025 8:25:44, Сколько времени использовался: 00:00:04.9062500
